Column,Row
0,173
1,173
2,173
3,173
4,173
5,173
6,173
7,173
8,174
9,174
10,174
11,175
12,175
13,175
14,176
15,176
16,176
17,176
18,177
19,177
20,177
21,178
22,178
23,178
24,179
25,179
26,179
27,179
28,180
29,180
30,180
31,181
32,181
33,181
34,181
35,182
36,182
37,182
38,183
39,183
40,183
41,184
42,184
43,184
44,184
45,185
46,185
47,185
48,186
49,186
50,186
51,186
52,187
53,187
54,187
55,188
56,188
57,188
58,189
59,189
60,189
61,189
62,190
63,190
64,190
65,191
66,191
67,191
68,192
69,192
70,192
71,192
72,193
73,193
74,193
75,194
76,194
77,194
78,194
79,195
80,195
81,195
82,196
83,196
84,196
85,197
86,197
87,197
88,197
89,198
90,198
91,198
92,199
93,199
94,199
95,199
96,200
97,200
98,200
99,201
100,201
101,201
102,202
103,202
104,202
105,202
106,203
107,203
108,203
109,204
110,204
111,204
112,205
113,205
114,205
115,205
116,206
117,206
118,206
119,207
120,207
121,207
122,207
123,208
124,208
125,208
126,209
127,209
128,209
129,210
130,210
131,210
132,210
133,211
134,211
135,211
136,212
137,212
138,212
139,212
140,213
141,213
142,213
143,214
144,214
145,214
146,215
147,215
148,215
149,215
150,216
151,216
152,216
153,217
154,217
155,217
156,218
157,218
158,218
159,218
160,219
161,219
162,219
163,220
164,220
165,220
166,220
167,221
168,221
169,221
170,222
171,222
172,222
173,223
174,223
175,223
176,223
177,224
178,224
179,224
180,225
181,225
182,225
183,225
184,225
185,225
186,225
187,225
188,225
189,225
190,225
191,226
192,226
193,226
194,226
195,226
196,226
197,226
198,226
199,226
200,226
201,226
202,226
203,226
204,226
205,226
206,226
207,226
208,226
209,226
210,226
211,226
212,226
213,226
214,226
215,226
216,226
217,226
218,227
219,227
220,227
221,227
222,227
223,227
224,227
225,227
226,227
227,227
228,227
229,227
230,227
231,227
232,227
233,227
234,227
235,227
236,227
237,227
238,227
239,227
240,227
241,227
242,227
243,227
244,227
245,228
246,228
247,228
248,228
249,228
250,228
251,228
252,228
253,228
254,228
255,228
256,228
257,228
258,228
259,228
260,228
261,228
262,228
263,228
264,228
265,228
266,228
267,228
268,228
269,228
270,228
271,228
272,229
273,229
274,229
275,229
276,229
277,229
278,229
279,229
280,229
281,229
282,229
283,229
284,229
285,229
286,229
287,229
288,229
289,229
290,229
291,229
292,230
293,230
294,230
295,231
296,231
297,231
298,232
299,232
300,232
301,233
302,233
303,233
304,234
305,234
306,234
307,235
308,235
309,235
310,236
311,236
312,236
313,237
314,237
315,237
316,238
317,238
318,238
319,239
320,239
321,239
322,240
323,240
324,240
325,241
326,241
327,241
328,242
329,242
330,242
331,243
332,243
333,243
334,244
335,244
336,244
337,245
338,245
339,245
340,246
341,246
342,247
343,247
344,247
345,248
346,248
347,248
348,249
349,249
350,249
351,250
352,250
353,250
354,251
355,251
356,251
357,252
358,252
359,252
360,253
361,253
362,253
363,254
364,254
365,254
366,255
367,255
368,255
369,256
370,256
371,256
372,257
373,257
374,257
375,258
376,258
377,258
378,259
379,259
380,259
381,260
382,260
383,260
384,261
385,261
386,261
387,262
388,262
389,262
390,263
391,263
392,263
393,264
394,264
395,264
396,265
397,265
398,265
399,266
400,266
401,266
402,267
403,267
404,267
405,268
406,268
407,269
408,269
409,269
410,270
411,270
412,270
413,271
414,271
415,271
416,272
417,272
418,272
419,273
420,273
421,273
422,274
423,274
424,274
425,275
426,275
427,275
428,276
429,276
430,276
431,277
432,277
433,277
434,278
435,278
436,278
437,279
438,279
439,279
440,280
441,280
442,280
443,281
444,281
445,281
446,282
447,282
448,282
449,283
450,283
451,283
452,284
453,284
454,284
455,285
456,285
457,285
458,286
459,286
460,286
461,287
462,287
463,287
464,288
465,288
466,288
467,289
468,289
469,289
470,290
471,290
472,291
473,291
474,291
475,292
476,292
477,292
478,293
479,293
480,293
481,294
482,294
483,294
484,295
485,295
486,295
487,296
488,296
489,296
490,297
491,297
492,297
493,298
494,298
495,298
496,299
497,299
498,299
499,300
500,300
501,300
502,301
503,301
504,301
505,302
506,302
507,302
508,303
509,303
510,303
511,304
512,304
513,304
514,305
515,305
516,305
517,306
518,306
519,306
520,307
521,307
522,307
523,308
524,308
525,308
526,309
527,309
528,309
529,310
530,310
531,310
532,311
533,311
534,311
535,312
536,312
537,313
538,313
539,313
540,314
541,314
542,314
543,315
544,315
545,315
546,316
547,316
548,316
549,317
550,317
551,317
552,318
553,318
554,314
555,309
556,303
557,298
558,292
559,287
560,281
561,276
562,275
563,277
564,279
565,281
566,283
567,285
568,288
569,290
570,292
571,294
572,296
573,298
574,300
575,302
576,304
577,306
578,309
579,311
580,313
581,315
582,317
583,319
584,321
585,323
586,325
587,327
588,330
589,332
590,334
591,336
592,338
593,340
594,342
595,344
596,346
597,348
598,351
599,353
600,355
601,357
602,358
603,359
604,359
605,359
606,360
607,360
608,360
609,360
610,361
611,361
612,361
613,361
614,362
615,362
616,362
617,362
618,363
619,363
620,363
621,363
622,364
623,364
624,364
625,365
626,365
627,365
628,365
629,366
630,366
631,366
632,366
633,367
634,367
635,367
636,367
637,368
638,368
639,368
640,369
641,369
642,369
643,369
644,370
645,370
646,370
647,370
648,371
649,371
650,371
651,371
652,372
653,372
654,372
655,372
656,373
657,373
658,373
659,374
660,374
661,374
662,374
663,375
664,375
665,375
666,375
667,376
668,376
669,376
670,376
671,377
672,377
673,377
674,378
675,378
676,378
677,378
678,379
679,379
680,379
681,379
682,380
683,380
684,380
685,380
686,381
687,381
688,381
689,381
690,382
691,382
692,382
693,383
694,383
695,383
696,383
697,384
698,384
699,384
700,384
701,385
702,385
703,385
704,385
705,386
706,386
707,386
708,387
709,387
710,387
711,387
712,388
713,388
714,388
715,388
716,389
717,389
718,389
719,389
720,390
721,390
722,390
723,390
724,391
725,391
726,391
727,392
728,392
729,392
730,392
731,393
732,393
733,393
734,393
735,394
736,394
737,394
738,394
739,395
740,395
741,395
742,396
743,396
744,396
745,397
746,397
747,397
748,398
749,398
750,398
751,399
752,399
753,399
754,400
755,400
756,400
757,401
758,401
759,401
760,402
761,402
762,402
763,403
764,403
765,403
766,404
767,404
768,405
769,405
770,405
771,406
772,406
773,406
774,407
775,407
776,407
777,408
778,408
779,408
780,409
781,409
782,409
783,410
784,410
785,410
786,411
787,411
788,411
789,412
790,412
791,412
792,413
793,413
794,413
795,414
796,414
797,414
798,415
799,415
800,415
801,416
802,416
803,416
804,417
