num,U,V
212,1983.9568999352075,1610.6067907102392
213,1428.105807424579,1162.2423750041667
214,2364.9366452119107,851.2710466316669
215,1983.6981495157584,937.9586444888286
216,2151.273809069657,1119.3172734759387
310,1624.9642005454523,624.5006163085802
311,793.3093065914871,607.246991639887
312,974.6276898523907,870.7557919610572
313,880.2129874393437,714.9848417719103
314,1050.0856419545678,447.55550151828203
315,1181.5607237187933,591.653624049777
316,1356.6903064009193,772.6032411330655
317,770.4233884379951,420.0132349419215
