num,U,V
110,2126.973774082674,783.1775501742851
111,2221.122029947351,1148.8097380436463
112,741.5746757358704,1292.1668060371726
113,1363.1012606609986,1335.0495074195685
114,923.5212575737472,708.7025733404226
115,1044.596029609871,882.1417863567292
116,1594.0854199248013,978.9169476414361
117,1366.5600317073906,689.5298515858901
210,620.2229984218976,834.0034736510182
211,533.4282344505617,1053.4460900877668
212,197.79937517181645,1314.4886238242007
214,227.34120695474527,727.9001040368789
216,161.2276546758704,957.1894195663406
217,527.6001284559994,724.1361248180536
